Sample_material_id "MIL-100(Fe)-2024-02-04 17-15-19.xls"
Instrument DVS-Advantage-Plus
Adsorptive Water
Temperature 300 K
Sample_mass 6.988 mg
RH units [%]
Uptake units [wt.%]
"Experimental method: calculated from non-equilibrium kinetics ("https://github.com/AndreyBezrukov/SKID")"
adsorption_RH,adsorption_uptake,desorption_RH,desorption_uptake
10.148331409094155,5.05867200915855,29.395474501857354,46.55695477962221
10.01965080935895,5.1631368059530525,29.41155957682409,46.49542072123639
10.035735884325717,5.208929593589008,29.54828271404226,46.43817973669147
10.120182527901484,5.31339439038351,29.367325620665195,46.37807670291927
10.281033277569705,5.4107040641099005,29.319070395765227,46.32226674298796
10.618819851872615,5.513737836290783,29.28287897708937,46.2621637092158
10.51828813333021,5.611047510017161,29.234623752189716,46.20635374928449
10.598713508164252,5.714081282198044,29.33917673947422,46.1519748139668
11.065180682201763,5.8099599313108135,28.768156578152123,46.093302804808225
10.880202320083612,5.911562678878064,28.86868829669445,46.03749284487692
11.121478444585719,6.006010303377214,28.63545470967565,45.98025186033199
11.591966887365174,6.107613050944464,28.571114409808548,45.9258729250143
11.84932808683434,6.202060675443614,28.691752472059584,45.86863194046938
12.227327348554986,6.296508299942752,28.46254015378244,45.81425300515169
12.187114661138004,6.395248998282762,28.75207150318504,45.75844304522038
12.331880335839294,6.489696622781899,28.868688296694508,45.675443617630215
12.476646010540172,6.587006296508289,29.06975173377924,45.4851173440183
12.71792213504228,6.680022896393806,29.222559945964026,45.427876359473366
13.156240427887923,6.778763594733829,28.98530509020353,45.3749284487693
13.083857590537548,6.8703491700057135,28.969220015236953,45.31768746422437
13.325133715039797,6.967658843732104,28.691752472059317,45.26473955352031
13.803664695302388,7.057813394390381,28.675667397092575,45.236119061247855
13.75138820166034,7.153692043503138,28.61132709722524,45.18174012593017
13.99266432616259,7.243846594161416,28.61132709722524,45.124499141385215
14.173621419539437,7.338294218660553,28.563071872324546,45.07155123068117
14.511407993842496,7.427017744705197,28.32179574782238,45.01431024613622
14.921577405496627,7.521465369204348,28.32179574782238,44.95993131081853
14.949726286688133,7.6087578706353725,28.32179574782238,44.901259301659984
14.563684487484593,7.697481396680017,28.321795747822435,44.84688036634229
14.817024418211943,7.789066971951914,28.321795747822357,44.792501431024604
15.01004531781387,7.876359473382939,28.18105134186283,44.73526044647968
15.552916597943707,7.967945048654836,28.402221122656595,44.50772753291356
15.488576298076616,8.053806525472227,28.86868829669393,43.392959358900974
15.826362872379669,8.145392100744125,29.037581583845707,43.334287349742404
15.98319235330623,8.22982255294791,29.06975173377958,43.278477389811094
16.3048938526425,8.274184315970231,29.081815540004637,43.21837435603892
16.727127070521824,8.358614768174004,28.76011404066816,43.161133371493975
16.779403564164127,8.447338294218648,28.603284559741905,43.102461362335426
16.98850953873201,8.530337721808813,28.78424165311836,43.04522037779049
17.458997981511594,8.617630223239837,28.816411803052233,42.9851173440183
17.87318866190668,8.700629650829988,28.663603590867307,42.929307384087
17.712337912238475,8.786491127647393,28.820433071793563,42.869204350314824
17.953614036740845,8.868059530623926,28.667624859608857,42.81339439038349
18.162720011309418,8.953921007441316,28.824454340535535,42.75329135661133
18.693527485214275,9.032627361190608,28.502752841199143,42.69748139668002
19.047399134484444,9.11705781339438,28.349944629014708,42.64167143674871
19.320845408920263,9.195764167143672,28.506774109941052,42.581568402976515
19.76720623924937,9.280194619347444,28.522859184907546,42.52432741843159
19.803397657924783,9.357469948483102,29.379389426890473,41.825987406983394
19.996418557526688,9.433314253005141,28.98128382146198,41.62278191184887
20.225630875803716,9.516313680595294,29.496006220399966,41.562678878076696
20.402566700439515,9.592157985117332,29.12604949616321,41.50686891814539
20.8971827556691,9.672295363480243,29.150177108613423,41.4467658843732
20.82882118705981,9.746708643388663,29.101921883713057,41.39095592444189
21.070097311561895,9.826846021751562,28.981283821461346,41.33514596451058
21.226926792488463,9.89982827704636,28.76413530940953,41.27504293073839
21.452117842023952,9.97853463079564,28.812390534310136,41.21923297080708
21.878372328644474,10.05151688609044,28.812390534310136,41.15912993703491
21.84620217871082,10.128792215226097,28.812390534309813,41.1033199771036
22.071393228246315,10.201774470520885,28.63947597841674,41.04321694333141
22.45341375870815,10.277618775042923,28.80836926556822,40.987406983400106
22.023138003345913,10.349170005724089,28.80836926556822,40.927303949627934
22.232243977914486,10.425014310246128,28.611327097224592,40.8714939896966
22.413201071290963,10.495134516313675,28.514816647424045,40.81139095592444
22.541881671025628,10.532341156267885,28.56307187232465,40.75558099599313
22.95607235142105,10.641099026903259,28.510795378682477,40.639668002289625
22.851519364136905,10.709788208357173,29.351240545698897,39.91700057240984
23.060625338705442,10.784201488265591,29.230602483447782,39.85689753863765
23.14507198228128,10.852890669719518,29.39949577059927,39.74098454493417
23.354177956849817,10.890097309673715,28.941071134045114,39.68517458500286
23.63566676876905,10.963079564968513,29.130070764905,39.62507155123067
23.59143281261033,11.030337721808808,29.081815540004715,39.56926159129936
23.671858187444506,11.099026903262732,29.118006958680006,39.51058958214081
24.36753767975941,11.17200915855752,29.069751733779633,39.45477962220951
23.81260259340435,11.239267315397813,28.695773740800867,39.394676588437314
23.909113043204584,11.312249570692611,28.800326728085533,39.338866628506004
24.005623493005437,11.379507727532905,28.848581952985818,39.283056668574694
24.102133942806226,11.451058958214071,28.812390534310598,39.2229536348025
24.70130298532017,11.518317115054378,28.84456068424415,39.16714367487119
24.572622385585724,11.591299370349164,28.63947597841746,39.107040641099026
24.66913283538654,11.658557527189457,28.81641180305206,39.051230681167716
