Time[min],Mass[mg],Temperature[degreeC],RH_target[%],RH_measured[%]
5.72,7.4296,53.1,0,0.54
5.75,7.4238,53.2,0,0.54
5.79,7.4184,53.4,0,0.54
5.82,7.4155,53.6,0,0.54
5.85,7.4102,53.7,0,0.54
5.89,7.4047,54,0,0.54
5.92,7.3996,54.2,0,0.54
5.96,7.3945,54.3,0,0.54
5.99,7.387,54.5,0,0.54
6.02,7.3819,54.7,0,0.54
6.06,7.3762,54.9,0,0.55
6.09,7.3708,55,0,0.54
6.13,7.3653,55.1,0,0.54
6.16,7.3602,55.2,0,0.54
6.19,7.3549,55.4,0,0.54
6.23,7.3501,55.6,0,0.54
6.26,7.345,55.8,0,0.55
6.3,7.3405,55.9,0,0.55
6.33,7.3357,56,0,0.54
6.36,7.3312,56.2,0,0.54
6.4,7.3269,56.4,0,0.54
6.43,7.3223,56.6,0,0.54
6.46,7.3182,56.7,0,0.54
6.5,7.3138,56.9,0,0.54
6.53,7.3099,56.9,0,0.54
6.57,7.306,57.1,0,0.54
6.6,7.3027,57.2,0,0.54
6.63,7.301,57.4,0,0.54
6.67,7.2979,57.6,0,0.54
6.7,7.2944,57.8,0,0.54
6.74,7.2912,58,0,0.55
6.77,7.2876,58.2,0,0.54
6.8,7.2843,58.4,0,0.54
6.84,7.2808,58.5,0,0.55
6.87,7.2776,58.7,0,0.54
6.9,7.2745,58.9,0,0.54
6.94,7.2731,59.1,0,0.56
6.97,7.2701,59.2,0,0.55
7.01,7.2673,59.4,0,0.56
7.04,7.2643,59.6,0,0.55
7.07,7.2613,59.8,0,0.54
7.11,7.2563,60,0,0.54
7.14,7.2528,60.2,0,0.54
7.17,7.2495,60.4,0,0.54
7.21,7.2461,60.6,0,0.55
7.24,7.2431,60.7,0,0.55
7.28,7.24,60.9,0,0.56
7.31,7.2371,61,0,0.54
7.34,7.2341,61.1,0,0.56
7.38,7.2313,61.2,0,0.55
7.41,7.2284,61.3,0,0.55
7.45,7.2256,61.5,0,0.56
7.48,7.2225,61.7,0,0.55
7.51,7.2195,61.9,0,0.56
7.55,7.2164,62.1,0,0.56
7.58,7.2134,62.2,0,0.56
7.61,7.2106,62.4,0,0.56
7.65,7.2078,62.5,0,0.56
7.68,7.2054,62.7,0,0.56
7.72,7.203,62.9,0,0.56
7.75,7.2019,63.1,0,0.56
7.78,7.1996,63.2,0,0.56
7.82,7.1971,63.4,0,0.55
7.85,7.1948,63.6,0,0.56
7.89,7.1925,63.8,0,0.56
7.92,7.1899,64,0,0.56
7.95,7.1876,64.2,0,0.56
7.99,7.1853,64.4,0,0.57
8.02,7.1841,64.5,0,0.57
8.06,7.1819,64.8,0,0.56
8.09,7.1795,65,0,0.56
8.12,7.1774,65.2,0,0.55
8.16,7.1752,65.3,0,0.56
8.19,7.1718,65.4,0,0.55
8.22,7.1696,65.6,0,0.56
8.26,7.1672,65.7,0,0.56
8.29,7.1649,65.9,0,0.55
8.33,7.1624,66.1,0,0.55
8.36,7.16,66.2,0,0.56
8.39,7.1577,66.3,0,0.55
8.43,7.1551,66.5,0,0.55
8.46,7.1529,66.6,0,0.54
8.5,7.1507,66.8,0,0.54
8.53,7.1487,67.1,0,0.54
8.56,7.1468,67.2,0,0.54
8.6,7.1449,67.4,0,0.54
8.63,7.1429,67.5,0,0.55
8.66,7.1411,67.6,0,0.56
8.7,7.1392,67.9,0,0.56
8.73,7.1374,68.1,0,0.55
8.77,7.1355,68.3,0,0.56
8.8,7.1337,68.5,0,0.56
8.83,7.1318,68.6,0,0.56
8.87,7.131,68.8,0,0.55
8.9,7.1292,69,0,0.56
8.93,7.1275,69.2,0,0.56
8.97,7.1257,69.3,0,0.56
9,7.124,69.5,0,0.55
9.04,7.1222,69.6,0,0.55
9.07,7.1203,69.8,0,0.54
9.1,7.1185,70,0,0.55
9.14,7.1165,70.1,0,0.56
9.17,7.1155,70.3,0,0.54
9.21,7.1136,70.5,0,0.54
9.24,7.1115,70.6,0,0.56
9.27,7.1097,70.7,0,0.55
9.31,7.1068,70.9,0,0.56
9.34,7.1049,71,0,0.54
9.37,7.1031,71.2,0,0.55
9.41,7.1013,71.4,0,0.54
9.44,7.0997,71.5,0,0.54
9.48,7.0981,71.7,0,0.54
9.51,7.0967,71.8,0,0.55
9.54,7.0951,71.9,0,0.54
9.58,7.0938,72.1,0,0.54
9.61,7.0924,72.2,0,0.55
9.65,7.091,72.4,0,0.56
9.68,7.0897,72.6,0,0.56
9.71,7.0883,72.7,0,0.55
9.75,7.087,72.9,0,0.55
9.78,7.0856,73.2,0,0.54
9.82,7.0844,73.3,0,0.56
9.85,7.0832,73.4,0,0.56
9.88,7.0821,73.7,0,0.55
9.92,7.081,73.9,0,0.56
9.95,7.08,74.1,0,0.55
9.98,7.0795,74.2,0,0.55
10.02,7.0784,74.4,0,0.56
10.05,7.0771,74.5,0,0.55
10.09,7.0757,74.7,0,0.56
10.12,7.0742,74.9,0,0.55
10.15,7.0728,75.1,0,0.55
10.19,7.0714,75.3,0,0.55
10.22,7.0702,75.4,0,0.55
10.26,7.0696,75.6,0,0.54
10.29,7.0683,75.8,0,0.56
10.32,7.0671,75.9,0,0.56
10.36,7.0659,76.1,0,0.56
10.39,7.064,76.2,0,0.54
10.42,7.0626,76.4,0,0.54
10.46,7.0612,76.6,0,0.56
10.49,7.0597,76.7,0,0.55
10.53,7.0583,76.9,0,0.56
10.56,7.0568,77.1,0,0.55
10.59,7.0554,77.2,0,0.55
10.63,7.054,77.4,0,0.55
10.66,7.0529,77.6,0,0.56
10.69,7.0518,77.7,0,0.56
10.73,7.0508,77.9,0,0.54
10.76,7.0498,78,0,0.54
10.8,7.0487,78.1,0,0.56
10.83,7.0477,78.4,0,0.56
10.86,7.0466,78.5,0,0.56
10.9,7.0456,78.8,0,0.56
10.93,7.0445,79,0,0.55
10.97,7.0435,79.2,0,0.56
11,7.0424,79.3,0,0.56
11.03,7.0414,79.4,0,0.56
11.07,7.0403,79.6,0,0.55
11.1,7.0398,79.8,0,0.55
11.13,7.0387,80,0,0.54
11.17,7.0377,80.2,0,0.55
11.2,7.0366,80.5,0,0.56
11.24,7.0355,80.6,0,0.55
11.27,7.0342,80.7,0,0.55
11.3,7.033,80.9,0,0.55
11.34,7.0318,81,0,0.55
11.37,7.0312,81.2,0,0.56
11.41,7.0299,81.3,0,0.54
11.44,7.0287,81.5,0,0.56
11.47,7.0274,81.6,0,0.56
11.51,7.0259,81.8,0,0.55
11.54,7.0248,81.9,0,0.55
11.58,7.0239,82,0,0.55
11.61,7.023,82.1,0,0.54
11.64,7.022,82.3,0,0.55
11.68,7.0211,82.6,0,0.56
11.71,7.0201,82.7,0,0.55
11.74,7.0192,82.9,0,0.54
11.78,7.0182,83.1,0,0.54
11.81,7.0174,83.2,0,0.54
11.85,7.0164,83.4,0,0.55
11.88,7.0156,83.6,0,0.54
11.91,7.0148,83.8,0,0.56
11.95,7.0139,84,0,0.55
11.98,7.0131,84.3,0,0.54
12.01,7.0122,84.4,0,0.54
12.05,7.0112,84.5,0,0.54
12.08,7.0102,84.6,0,0.54
12.12,7.0091,84.7,0,0.54
12.15,7.008,84.9,0,0.55
12.18,7.0075,85.1,0,0.54
12.22,7.0066,85.3,0,0.54
12.25,7.0057,85.5,0,0.55
12.29,7.0049,85.7,0,0.54
12.32,7.004,85.8,0,0.54
12.35,7.0032,86,0,0.54
12.39,7.0024,86.2,0,0.55
12.42,7.0016,86.3,0,0.55
12.45,7.0012,86.5,0,0.55
12.49,7.0004,86.6,0,0.55
12.52,6.9996,86.8,0,0.56
12.56,6.9988,87,0,0.56
12.59,6.9975,87.2,0,0.55
12.62,6.9967,87.4,0,0.55
12.66,6.9959,87.5,0,0.56
12.69,6.9952,87.7,0,0.55
12.73,6.9946,87.8,0,0.55
12.76,6.9938,87.9,0,0.55
12.79,6.9931,88.1,0,0.56
12.83,6.9923,88.4,0,0.55
12.86,6.9915,88.6,0,0.55
12.89,6.9908,88.8,0,0.55
12.93,6.9899,89,0,0.55
12.96,6.9892,89.1,0,0.55
13,6.9884,89.4,0,0.54
13.03,6.9877,89.6,0,0.55
13.06,6.987,89.7,0,0.55
13.1,6.9863,89.9,0,0.55
13.13,6.9855,90,0,0.55
13.16,6.9848,90.2,0,0.55
13.2,6.9841,90.3,0,0.56
13.23,6.9835,90.6,0,0.54
13.27,6.9828,90.8,0,0.55
13.3,6.9825,91,0,0.55
13.33,6.9817,91.2,0,0.54
13.37,6.981,91.3,0,0.54
13.4,6.9802,91.6,0,0.56
13.43,6.9799,91.8,0,0.55
13.47,6.9791,92,0,0.56
13.5,6.9784,92.2,0,0.55
13.54,6.9773,92.3,0,0.54
13.57,6.9766,92.3,0,0.55
13.6,6.9759,92.5,0,0.56
13.64,6.9752,92.8,0,0.56
13.67,6.9745,93,0,0.56
13.71,6.9738,93.3,0,0.54
13.74,6.973,93.5,0,0.54
13.77,6.9722,93.7,0,0.54
13.81,6.9713,93.8,0,0.54
13.84,6.9703,93.9,0,0.54
13.88,6.9695,94.1,0,0.55
13.91,6.9686,94.2,0,0.54
13.94,6.9678,94.4,0,0.54
13.98,6.9671,94.5,0,0.54
14.01,6.9663,94.7,0,0.54
14.04,6.9655,94.9,0,0.54
14.08,6.9647,95.1,0,0.56
14.11,6.9637,95.4,0,0.55
14.14,6.9628,95.5,0,0.55
14.18,6.9619,95.6,0,0.55
14.21,6.961,95.8,0,0.54
14.25,6.9605,95.9,0,0.54
14.28,6.9597,96.2,0,0.54
14.32,6.9589,96.4,0,0.55
14.35,6.9581,96.5,0,0.54
14.38,6.9574,96.7,0,0.54
14.42,6.9568,96.8,0,0.55
14.45,6.9561,97,0,0.54
14.48,6.9552,97.2,0,0.54
14.52,6.9543,97.4,0,0.54
14.55,6.9533,97.5,0,0.54
14.59,6.9525,97.7,0,0.54
14.62,6.952,98,0,0.54
14.65,6.9516,98.1,0,0.54
14.69,6.9516,98.3,0,0.56
14.72,6.9514,98.5,0,0.55
14.76,6.9514,98.6,0,0.55
14.79,6.9513,98.8,0,0.54
14.82,6.9512,98.9,0,0.54
14.86,6.9511,99,0,0.55
14.89,6.951,99.2,0,0.55
14.92,6.9509,99.4,0,0.54
14.96,6.9507,99.7,0,0.54
14.99,6.9505,99.9,0,0.54
15.03,6.9504,100,0,0.54
15.06,6.9503,100.1,0,0.54
15.09,6.9503,100.2,0,0.54
15.13,6.9503,100.3,0,0.54
15.16,6.95,100.5,0,0.54
15.19,6.9496,100.7,0,0.54
15.23,6.9493,100.8,0,0.54
15.26,6.9487,101,0,0.54
15.3,6.948,101.1,0,0.54
15.33,6.9474,101.2,0,0.54
15.36,6.9467,101.3,0,0.54
15.4,6.9459,101.4,0,0.54
15.43,6.9452,101.5,0,0.54
15.46,6.9444,101.6,0,0.54
15.5,6.9438,101.7,0,0.54
15.53,6.943,101.8,0,0.55
15.56,6.9423,101.8,0,0.54
15.6,6.9416,102,0,0.54
15.63,6.941,102,0,0.54
15.67,6.9402,102.1,0,0.54
15.7,6.9394,102.2,0,0.54
15.73,6.9385,102.3,0,0.54
15.77,6.9377,102.3,0,0.54
15.8,6.9369,102.4,0,0.54
15.83,6.9363,102.5,0,0.54
15.87,6.9357,102.5,0,0.54
15.9,6.935,102.7,0,0.54
15.94,6.9344,102.7,0,0.54
15.97,6.9338,102.8,0,0.54
16,6.9331,102.8,0,0.54
16.04,6.9323,102.9,0,0.54
16.07,6.9316,103,0,0.54
16.11,6.9307,103,0,0.54
16.14,6.9299,102.9,0,0.54
16.17,6.929,103,0,0.54
16.21,6.9282,103,0,0.54
16.24,6.9279,103.1,0,0.54
16.27,6.9272,103.2,0,0.54
16.31,6.9266,103.2,0,0.54
16.34,6.9261,103.2,0,0.54
16.37,6.9257,103.2,0,0.54
16.41,6.9251,103.2,0,0.54
16.44,6.9239,103.1,0,0.54
16.48,6.9232,103.1,0,0.54
16.51,6.9224,103.2,0,0.54
16.54,6.9216,103.3,0,0.54
16.58,6.9209,103.3,0,0.54
16.61,6.9203,103.3,0,0.54
16.64,6.9198,103.2,0,0.54
16.68,6.9193,103.2,0,0.54
16.71,6.9188,103.2,0,0.54
16.75,6.9183,103.2,0,0.54
16.78,6.9178,103.2,0,0.54
16.81,6.917,103.3,0,0.54
16.85,6.9163,103.2,0,0.54
16.88,6.9155,103.2,0,0.54
16.91,6.9148,103.2,0,0.54
16.95,6.914,103.1,0,0.54
16.98,6.9133,103.1,0,0.54
17.01,6.9125,103,0,0.54
17.05,6.9118,103,0,0.54
17.08,6.911,102.9,0,0.54
17.11,6.9102,102.9,0,0.54
17.15,6.9102,102.8,0,0.54
17.18,6.9095,102.8,0,0.54
17.22,6.9087,102.7,0,0.54
17.25,6.908,102.7,0,0.54
17.28,6.9072,102.7,0,0.54
17.32,6.9066,102.5,0,0.54
17.35,6.9059,102.4,0,0.54
17.38,6.9053,102.3,0,0.54
17.42,6.9046,102.3,0,0.54
17.45,6.9042,102.3,0,0.54
17.49,6.9039,102.3,0,0.54
17.52,6.9037,102.3,0,0.54
17.55,6.9035,102.2,0,0.54
17.59,6.9034,102.1,0,0.54
17.62,6.9032,102.1,0,0.54
17.65,6.9031,102.1,0,0.54
17.69,6.903,102.1,0,0.54
17.72,6.9028,102.1,0,0.54
17.76,6.9027,102,0,0.54
17.79,6.9026,102,0,0.54
17.82,6.9025,102,0,0.54
17.86,6.9022,102,0,0.54
17.89,6.9019,101.9,0,0.54
17.92,6.9014,101.9,0,0.54
17.96,6.9011,101.8,0,0.54
17.99,6.9009,101.8,0,0.54
18.02,6.9005,101.7,0,0.54
18.06,6.9001,101.6,0,0.54
18.09,6.8997,101.5,0,0.54
18.13,6.8993,101.5,0,0.54
18.16,6.8989,101.4,0,0.54
18.19,6.8986,101.4,0,0.54
18.23,6.8982,101.3,0,0.54
18.26,6.8978,101.2,0,0.54
