Time[min],Mass[mg],Temperature[degreeC],RH_target[%],RH_measured[%]
66.27,6.7414,53.4,0,0.54
66.3,6.7416,53.3,0,0.54
66.33,6.7417,53.1,0,0.54
66.37,6.7419,53,0,0.54
66.4,6.7421,52.9,0,0.54
66.43,6.7423,52.7,0,0.54
66.47,6.7426,52.7,0,0.54
66.5,6.7428,52.6,0,0.54
66.53,6.743,52.5,0,0.54
66.57,6.7432,52.4,0,0.54
66.6,6.7435,52.3,0,0.54
66.64,6.7437,52.2,0,0.54
66.67,6.7439,52.1,0,0.54
66.7,6.7441,52,0,0.54
66.74,6.7443,51.8,0,0.54
66.77,6.7445,51.7,0,0.54
66.8,6.7447,51.6,0,0.54
66.84,6.7449,51.5,0,0.54
66.87,6.7451,51.4,0,0.54
66.9,6.7452,51.3,0,0.54
66.94,6.7454,51.1,0,0.54
66.97,6.7455,51.1,0,0.54
67,6.7457,51,0,0.54
67.04,6.7458,50.9,0,0.54
67.07,6.746,50.8,0,0.54
67.11,6.7463,50.7,0,0.54
67.14,6.7465,50.5,0,0.54
67.17,6.7467,50.5,0,0.54
67.21,6.7469,50.4,0,0.54
67.24,6.7471,50.3,0,0.54
67.28,6.7473,50.3,0,0.54
67.31,6.7475,50.1,0,0.54
67.34,6.7477,50,0,0.54
67.38,6.7479,49.9,0,0.54
67.41,6.7481,49.7,0,0.54
67.44,6.7483,49.7,0,0.54
67.48,6.7484,49.5,0,0.54
67.51,6.7487,49.5,0,0.54
67.55,6.7488,49.4,0,0.54
67.58,6.749,49.3,0,0.54
67.61,6.7492,49.2,0,0.54
67.65,6.7494,49.1,0,0.54
67.68,6.7495,49,0,0.54
67.72,6.7497,48.9,0,0.54
67.75,6.7498,48.8,0,0.54
67.78,6.75,48.7,0,0.54
67.82,6.7502,48.6,0,0.54
67.85,6.7503,48.5,0,0.54
67.88,6.7505,48.4,0,0.54
67.92,6.7506,48.3,0,0.54
67.95,6.7508,48.3,0,0.54
67.99,6.7509,48.1,0,0.54
68.02,6.751,48,0,0.54
68.05,6.7512,48,0,0.54
68.09,6.7513,47.9,0,0.54
68.12,6.7516,47.8,0,0.54
68.15,6.7518,47.8,0,0.54
68.19,6.7519,47.7,0,0.54
68.22,6.7522,47.6,0,0.54
68.25,6.7523,47.5,0,0.54
68.29,6.7525,47.5,0,0.54
68.32,6.7527,47.3,0,0.54
68.36,6.7528,47.2,0,0.54
68.39,6.753,47.1,0,0.54
68.42,6.7532,47,0,0.54
68.46,6.7534,47,0,0.54
68.49,6.7536,46.9,0,0.54
68.52,6.7537,46.8,0,0.54
68.56,6.7539,46.8,0,0.54
68.59,6.7541,46.6,0,0.54
68.62,6.7543,46.6,0,0.54
68.66,6.7545,46.5,0,0.54
68.69,6.7546,46.4,0,0.54
68.72,6.7548,46.3,0,0.54
68.76,6.755,46.2,0,0.54
68.79,6.7552,46.1,0,0.54
68.83,6.7553,46,0,0.54
68.86,6.7555,45.9,0,0.54
68.89,6.7557,45.9,0,0.54
68.93,6.7559,45.9,0,0.54
68.96,6.7561,45.8,0,0.54
69,6.7564,45.7,0,0.54
69.03,6.7566,45.6,0,0.54
69.06,6.7568,45.5,0,0.54
69.1,6.7569,45.4,0,0.54
69.13,6.7571,45.4,0,0.54
69.17,6.7573,45.3,0,0.54
69.2,6.7576,45.3,0,0.54
69.23,6.7578,45.2,0,0.55
69.27,6.758,45.2,0,0.54
69.3,6.7582,45.1,0,0.54
69.34,6.7584,45.1,0,0.54
69.37,6.7586,45,0,0.54
69.4,6.7588,44.9,0,0.54
69.44,6.7591,44.8,0,0.54
69.47,6.7592,44.7,0,0.54
69.51,6.7594,44.7,0,0.54
69.54,6.7596,44.6,0,0.55
69.57,6.7598,44.6,0,0.55
69.61,6.76,44.5,0,0.54
69.64,6.7602,44.4,0,0.54
69.67,6.7604,44.3,0,0.55
69.71,6.7606,44.2,0,0.55
69.74,6.7608,44.2,0,0.54
69.77,6.7609,44.1,0,0.54
69.81,6.761,44,0,0.54
69.84,6.7613,43.9,0,0.55
69.87,6.7615,43.8,0,0.54
69.91,6.7616,43.7,0,0.54
69.94,6.7618,43.7,0,0.54
69.97,6.762,43.6,0,0.54
70.01,6.7622,43.6,0,0.54
70.04,6.7624,43.5,0,0.54
70.07,6.7626,43.5,0,0.54
70.11,6.7628,43.4,0,0.54
70.14,6.7629,43.3,0,0.54
70.18,6.7631,43.3,0,0.54
70.21,6.7633,43.2,0,0.54
70.24,6.7636,43.2,0,0.54
70.28,6.7638,43.2,0,0.54
70.31,6.764,43,0,0.54
70.34,6.7642,42.9,0,0.54
70.38,6.7644,42.9,0,0.54
70.41,6.7646,42.8,0,0.54
70.45,6.7648,42.8,0,0.54
70.48,6.765,42.8,0,0.54
70.51,6.7652,42.8,0,0.54
70.55,6.7654,42.8,0,0.54
70.58,6.7655,42.7,0,0.54
70.62,6.7656,42.7,0,0.54
70.65,6.7658,42.6,0,0.54
70.68,6.766,42.6,0,0.54
70.72,6.7662,42.5,0,0.54
70.75,6.7664,42.4,0,0.54
70.78,6.7666,42.4,0,0.54
70.82,6.7668,42.3,0,0.54
70.85,6.767,42.3,0,0.54
70.89,6.7672,42.2,0,0.54
70.92,6.7674,42.1,0,0.54
70.95,6.7676,42,0,0.54
70.99,6.7678,41.9,0,0.54
71.02,6.768,41.9,0,0.54
71.06,6.7682,41.8,0,0.54
71.09,6.7683,41.7,0,0.54
71.12,6.7685,41.7,0,0.54
71.16,6.7687,41.7,0,0.54
71.19,6.7688,41.6,0,0.54
71.22,6.769,41.5,0,0.54
71.26,6.7692,41.5,0,0.54
71.29,6.7695,41.5,0,0.54
71.33,6.7697,41.4,0,0.54
71.36,6.7698,41.4,0,0.54
71.39,6.77,41.3,0,0.54
71.43,6.7702,41.2,0,0.54
71.46,6.7704,41.2,0,0.54
71.49,6.7705,41.2,0,0.54
71.53,6.7706,41.1,0,0.54
71.56,6.7708,41.1,0,0.54
71.6,6.771,41,0,0.54
71.63,6.7712,41,0,0.54
71.66,6.7714,40.9,0,0.54
71.7,6.7716,40.9,0,0.54
71.73,6.7718,40.8,0,0.54
71.76,6.772,40.7,0,0.54
71.8,6.7722,40.7,0,0.54
71.83,6.7723,40.6,0,0.54
71.87,6.7725,40.6,0,0.54
71.9,6.7727,40.6,0,0.54
71.93,6.7729,40.5,0,0.54
71.97,6.7731,40.5,0,0.54
72,6.7733,40.4,0,0.54
72.04,6.7735,40.4,0,0.54
72.07,6.7736,40.4,0,0.54
72.1,6.7738,40.3,0,0.54
72.14,6.774,40.2,0,0.54
72.17,6.7742,40.2,0,0.54
72.21,6.7743,40.1,0,0.54
72.24,6.7744,40.1,0,0.54
72.27,6.7747,40.1,0,0.54
72.31,6.7749,40,0,0.54
72.34,6.775,39.9,0,0.54
72.38,6.7752,39.8,0,0.54
72.41,6.7754,39.7,0,0.54
72.44,6.7756,39.8,0,0.54
72.48,6.7758,39.8,0,0.54
72.51,6.776,39.8,0,0.54
72.54,6.7761,39.7,0,0.54
72.58,6.7763,39.6,0,0.54
72.61,6.7765,39.6,0,0.54
72.65,6.7767,39.6,0,0.54
72.68,6.7768,39.5,0,0.54
72.71,6.7769,39.4,0,0.54
72.75,6.7771,39.4,0,0.54
72.78,6.7773,39.3,0,0.54
72.81,6.7775,39.2,0,0.54
72.85,6.7777,39.2,0,0.54
72.88,6.7779,39.2,0,0.54
72.92,6.7781,39.2,0,0.54
72.95,6.7783,39.1,0,0.54
72.98,6.7785,39.1,0,0.54
73.02,6.7787,39,0,0.54
73.05,6.7789,38.9,0,0.54
73.09,6.7791,39,0,0.54
73.12,6.7793,38.9,0,0.54
73.15,6.7795,38.9,0,0.54
73.19,6.7796,38.9,0,0.54
73.22,6.7798,38.8,0,0.54
73.25,6.78,38.8,0,0.54
73.29,6.7802,38.7,0,0.54
73.32,6.7804,38.7,0,0.54
73.35,6.7806,38.7,0,0.54
73.39,6.7808,38.7,0,0.54
73.42,6.781,38.6,0,0.54
73.46,6.7812,38.6,0,0.54
73.49,6.7814,38.6,0,0.54
73.52,6.7816,38.5,0,0.53
73.56,6.7818,38.4,0,0.54
73.59,6.7819,38.3,0,0.54
73.62,6.7821,38.3,0,0.54
73.66,6.7822,38.3,0,0.54
73.69,6.7824,38.3,0,0.54
73.72,6.7826,38.3,0,0.54
73.76,6.7827,38.2,0,0.53
73.79,6.783,38.2,0,0.54
73.82,6.7831,38.2,0,0.54
73.86,6.7833,38.1,0,0.54
73.89,6.7835,38.1,0,0.54
73.92,6.7836,38.1,0,0.54
73.96,6.7838,38,0,0.54
73.99,6.784,37.9,0,0.54
74.03,6.7842,37.9,0,0.54
74.06,6.7844,37.9,0,0.54
74.09,6.7846,37.8,0,0.54
74.13,6.7848,37.8,0,0.54
74.16,6.7849,37.8,0,0.54
74.19,6.7851,37.7,0,0.54
74.23,6.7853,37.7,0,0.54
74.26,6.7856,37.7,0,0.54
74.29,6.7858,37.7,0,0.53
74.33,6.786,37.7,0,0.54
74.36,6.7862,37.6,0,0.54
74.39,6.7864,37.6,0,0.54
74.43,6.7866,37.5,0,0.54
74.46,6.7868,37.5,0,0.54
74.5,6.787,37.5,0,0.54
74.53,6.7872,37.5,0,0.54
74.56,6.7874,37.4,0,0.54
74.6,6.7876,37.4,0,0.54
74.63,6.7878,37.4,0,0.54
74.66,6.7879,37.4,0,0.54
74.7,6.7881,37.3,0,0.54
74.73,6.7883,37.2,0,0.54
74.76,6.7885,37.2,0,0.54
74.8,6.7887,37.1,0,0.54
74.83,6.7889,37.1,0,0.54
74.87,6.7891,37.1,0,0.54
74.9,6.7893,37,0,0.54
74.94,6.7894,37,0,0.53
74.97,6.7896,37,0,0.53
75,6.7898,37,0,0.53
75.04,6.79,37,0,0.54
75.07,6.7902,37,0,0.54
75.1,6.7904,36.9,0,0.53
75.14,6.7904,36.9,0,0.53
75.17,6.7905,36.8,0,0.54
75.2,6.7907,36.8,0,0.54
75.24,6.791,36.7,0,0.54
75.27,6.7912,36.7,0,0.53
75.3,6.7913,36.7,0,0.53
75.34,6.7915,36.6,0,0.53
75.37,6.7917,36.6,0,0.54
75.41,6.7918,36.6,0,0.54
75.44,6.792,36.6,0,0.54
75.47,6.7922,36.5,0,0.54
75.51,6.7923,36.5,0,0.54
75.54,6.7926,36.4,0,0.54
75.57,6.7927,36.4,0,0.54
75.61,6.7929,36.4,0,0.54
75.64,6.7931,36.4,0,0.54
75.68,6.7933,36.4,0,0.53
75.71,6.7934,36.4,0,0.54
75.74,6.7936,36.4,0,0.53
75.78,6.7938,36.3,0,0.54
75.81,6.794,36.2,0,0.53
75.85,6.7942,36.2,0,0.54
75.88,6.7944,36.2,0,0.54
75.91,6.7946,36.1,0,0.54
75.95,6.7948,36.1,0,0.54
75.98,6.7949,36,0,0.54
76.02,6.7951,36,0,0.54
76.05,6.7953,36.1,0,0.54
76.08,6.7954,36,0,0.53
76.12,6.7956,36,0,0.54
76.15,6.7957,35.9,0,0.54
76.19,6.7959,35.9,0,0.53
76.22,6.7961,35.9,0,0.54
76.25,6.7963,35.8,0,0.54
76.29,6.7965,35.8,0,0.53
76.32,6.7967,35.8,0,0.53
76.35,6.7969,35.7,0,0.53
76.39,6.7971,35.7,0,0.53
76.42,6.7973,35.6,0,0.53
76.46,6.7975,35.6,0,0.54
76.49,6.7977,35.6,0,0.53
76.52,6.7979,35.6,0,0.53
76.56,6.7981,35.6,0,0.53
76.59,6.7983,35.6,0,0.53
76.63,6.7985,35.6,0,0.53
76.66,6.7987,35.6,0,0.53
76.69,6.7989,35.5,0,0.53
76.73,6.7991,35.5,0,0.53
76.76,6.7992,35.5,0,0.53
76.79,6.7994,35.4,0,0.53
76.83,6.7996,35.4,0,0.53
76.86,6.7997,35.3,0,0.53
76.89,6.7999,35.3,0,0.54
76.93,6.8001,35.3,0,0.54
76.96,6.8003,35.3,0,0.53
77,6.8004,35.3,0,0.53
77.03,6.8005,35.3,0,0.54
77.06,6.8007,35.2,0,0.54
77.1,6.8009,35.2,0,0.53
77.13,6.8011,35.1,0,0.53
77.17,6.8013,35.1,0,0.53
77.2,6.8015,35.1,0,0.54
77.23,6.8017,35.1,0,0.53
77.27,6.8018,35,0,0.53
77.3,6.802,35,0,0.53
77.34,6.8021,35,0,0.53
77.37,6.8024,34.9,0,0.53
77.4,6.8025,35,0,0.53
77.44,6.8028,35,0,0.54
77.47,6.803,35,0,0.53
77.5,6.8031,35,0,0.54
77.54,6.8033,35,0,0.54
77.57,6.8035,34.9,0,0.54
77.61,6.8037,34.9,0,0.54
77.64,6.8039,34.8,0,0.53
77.67,6.8041,34.8,0,0.53
77.71,6.8043,34.8,0,0.53
77.74,6.8045,34.8,0,0.53
77.77,6.8047,34.7,0,0.53
77.81,6.8049,34.7,0,0.53
77.84,6.805,34.7,0,0.53
77.88,6.8052,34.6,0,0.53
77.91,6.8054,34.6,0,0.53
77.94,6.8055,34.6,0,0.53
77.98,6.8057,34.7,0,0.53
78.01,6.8058,34.6,0,0.53
78.04,6.8059,34.6,0,0.53
78.08,6.8062,34.6,0,0.53
78.11,6.8064,34.5,0,0.53
78.14,6.8065,34.5,0,0.53
78.18,6.8067,34.5,0,0.53
78.21,6.8068,34.4,0,0.53
78.25,6.807,34.4,0,0.53
78.28,6.8072,34.4,0,0.53
78.31,6.8074,34.4,0,0.53
78.35,6.8075,34.4,0,0.54
78.38,6.8077,34.3,0,0.53
78.41,6.8079,34.3,0,0.53
78.45,6.8081,34.2,0,0.54
78.48,6.8083,34.2,0,0.53
78.52,6.8085,34.2,0,0.53
78.55,6.8086,34.2,0,0.53
78.58,6.8088,34.2,0,0.53
78.62,6.809,34.2,0,0.53
78.65,6.8092,34.2,0,0.53
78.68,6.8093,34.2,0,0.53
78.72,6.8095,34.2,0,0.53
78.75,6.8097,34.2,0,0.53
78.79,6.8099,34.2,0,0.53
78.82,6.8101,34.1,0,0.53
78.85,6.8102,34,0,0.53
78.89,6.8104,34,0,0.53
78.92,6.8106,34,0,0.53
78.96,6.8107,33.9,0,0.53
78.99,6.8109,33.9,0,0.53
79.02,6.811,33.9,0,0.53
79.06,6.8113,33.9,0,0.53
79.09,6.8115,33.9,0,0.53
79.12,6.8116,33.9,0,0.53
79.16,6.8117,33.9,0,0.53
79.19,6.8119,33.8,0,0.53
79.23,6.8121,33.8,0,0.53
79.26,6.8122,33.9,0,0.53
79.29,6.8124,33.8,0,0.53
79.33,6.8126,33.8,0,0.52
79.36,6.8127,33.8,0,0.53
79.39,6.8129,33.7,0,0.53
79.43,6.8131,33.8,0,0.53
79.46,6.8133,33.8,0,0.52
79.49,6.8135,33.7,0,0.53
79.53,6.8137,33.7,0,0.53
79.56,6.8139,33.7,0,0.53
79.6,6.8141,33.7,0,0.53
79.63,6.8143,33.7,0,0.53
79.66,6.8145,33.6,0,0.53
79.7,6.8147,33.6,0,0.53
79.73,6.8149,33.5,0,0.53
79.77,6.8151,33.5,0,0.53
79.8,6.8153,33.5,0,0.53
79.83,6.8155,33.5,0,0.53
79.87,6.8157,33.4,0,0.53
79.9,6.8158,33.5,0,0.53
79.93,6.816,33.5,0,0.53
79.97,6.8162,33.5,0,0.53
80,6.8163,33.5,0,0.53
80.03,6.8165,33.5,0,0.53
80.07,6.8167,33.4,0,0.53
80.1,6.8168,33.4,0,0.53
80.13,6.817,33.4,0,0.53
80.17,6.8171,33.4,0,0.53
80.2,6.8173,33.4,0,0.53
80.24,6.8175,33.3,0,0.52
80.27,6.8177,33.3,0,0.53
80.3,6.8178,33.3,0,0.53
80.34,6.818,33.2,0,0.52
80.37,6.8182,33.2,0,0.52
80.4,6.8184,33.2,0,0.53
80.44,6.8185,33.3,0,0.53
80.47,6.8187,33.3,0,0.53
80.51,6.8189,33.3,0,0.53
80.54,6.819,33.2,0,0.52
80.57,6.8192,33.1,0,0.52
80.61,6.8194,33.1,0,0.52
80.64,6.8195,33,0,0.53
80.67,6.8197,33,0,0.52
80.71,6.8199,33.1,0,0.51
80.74,6.8201,33,0,0.53
80.78,6.8203,33.1,0,0.53
80.81,6.8203,33.1,0,0.53
80.84,6.8205,33.1,0,0.53
80.88,6.8206,33,0,0.51
80.91,6.8209,33,0,0.52
80.95,6.821,33,0,0.53
80.98,6.8212,33,0,0.53
81.01,6.8214,33,0,0.53
81.05,6.8216,32.9,0,0.52
81.08,6.8218,32.9,0,0.52
81.11,6.822,32.9,0,0.51
81.15,6.8222,32.9,0,0.52
81.18,6.8223,32.9,0,0.52
81.22,6.8225,32.9,0,0.53
81.25,6.8227,32.8,0,0.52
81.28,6.8229,32.8,0,0.53
81.32,6.8231,32.9,0,0.53
81.35,6.8232,32.9,0,0.52
81.38,6.8234,32.8,0,0.52
81.42,6.8236,32.8,0,0.53
81.45,6.8237,32.7,0,0.52
81.49,6.8239,32.7,0,0.53
81.52,6.8241,32.7,0,0.51
81.55,6.8242,32.6,0,0.53
81.59,6.8244,32.6,0,0.52
81.62,6.8246,32.6,0,0.53
81.65,6.8247,32.6,0,0.53
81.69,6.8249,32.5,0,0.51
81.72,6.8251,32.5,0,0.52
81.76,6.8252,32.5,0,0.51
81.79,6.8254,32.5,0,0.51
81.82,6.8254,32.5,0,0.52
81.86,6.8255,32.6,0,0.52
81.89,6.8257,32.6,0,0.53
81.92,6.826,32.6,0,0.53
81.96,6.8261,32.6,0,0.53
81.99,6.8263,32.6,0,0.52
82.02,6.8265,32.5,0,0.53
82.06,6.8266,32.5,0,0.53
82.09,6.8268,32.5,0,0.52
82.13,6.827,32.4,0,0.53
82.16,6.8272,32.4,0,0.53
82.19,6.8273,32.4,0,0.51
82.23,6.8275,32.4,0,0.51
82.26,6.8277,32.3,0,0.52
82.29,6.8279,32.3,0,0.52
82.33,6.8281,32.3,0,0.51
82.36,6.8282,32.3,0,0.52
82.4,6.8284,32.3,0,0.51
82.43,6.8286,32.3,0,0.51
82.46,6.8288,32.3,0,0.52
82.5,6.8289,32.3,0,0.52
82.53,6.8291,32.3,0,0.51
82.56,6.8293,32.3,0,0.52
82.6,6.8294,32.3,0,0.51
82.63,6.8296,32.3,0,0.51
82.67,6.8298,32.3,0,0.51
82.7,6.8299,32.3,0,0.51
82.74,6.8301,32.2,0,0.51
82.77,6.8302,32.2,0,0.51
82.8,6.8304,32.2,0,0.51
82.84,6.8305,32.1,0,0.52
82.87,6.8307,32.1,0,0.53
82.91,6.8308,32.1,0,0.53
82.94,6.8309,32.1,0,0.52
82.97,6.8312,32.1,0,0.52
83.01,6.8313,32.1,0,0.51
83.04,6.8315,32.1,0,0.51
83.07,6.8317,32.1,0,0.52
83.11,6.8318,32,0,0.53
83.14,6.832,32,0,0.52
83.18,6.8322,31.9,0,0.53
83.21,6.8324,31.9,0,0.52
83.24,6.8325,32,0,0.52
83.28,6.8327,31.9,0,0.52
83.31,6.8329,31.9,0,0.53
83.34,6.833,32,0,0.53
83.38,6.8332,32,0,0.53
83.41,6.8334,32,0,0.52
83.45,6.8335,31.9,0,0.51
83.48,6.8337,31.9,0,0.51
83.51,6.8339,31.9,0,0.52
83.55,6.8341,31.8,0,0.53
83.58,6.8343,31.8,0,0.52
83.62,6.8345,31.8,0,0.52
83.65,6.8346,31.8,0,0.51
83.68,6.8348,31.8,0,0.51
83.72,6.835,31.8,0,0.51
83.75,6.8352,31.8,0,0.51
83.79,6.8353,31.8,0,0.51
83.82,6.8355,31.7,0,0.52
83.85,6.8356,31.7,0,0.51
83.89,6.8358,31.7,0,0.51
83.92,6.8359,31.7,0,0.51
83.95,6.8361,31.7,0,0.52
83.99,6.8362,31.7,0,0.51
84.02,6.8364,31.7,0,0.51
84.06,6.8365,31.7,0,0.51
84.09,6.8367,31.7,0,0.51
84.12,6.8368,31.6,0,0.52
84.16,6.837,31.7,0,0.51
84.19,6.8371,31.7,0,0.52
84.22,6.8373,31.6,0,0.51
84.26,6.8374,31.6,0,0.52
84.29,6.8376,31.6,0,0.52
84.33,6.8377,31.6,0,0.52
84.36,6.8379,31.6,0,0.52
84.39,6.8381,31.6,0,0.52
84.43,6.8382,31.6,0,0.52
84.46,6.8384,31.6,0,0.52
84.5,6.8386,31.5,0,0.51
84.53,6.8388,31.5,0,0.51
84.56,6.839,31.5,0,0.51
84.6,6.8392,31.5,0,0.51
84.63,6.8393,31.5,0,0.51
84.66,6.8395,31.5,0,0.51
84.7,6.8397,31.5,0,0.51
84.73,6.8399,31.5,0,0.51
84.77,6.84,31.4,0,0.51
84.8,6.8402,31.5,0,0.51
84.83,6.8404,31.5,0,0.51
84.87,6.8406,31.5,0,0.51
84.9,6.8407,31.4,0,0.51
84.93,6.8409,31.4,0,0.51
84.97,6.841,31.3,0,0.51
85,6.8411,31.3,0,0.51
85.04,6.8412,31.3,0,0.51
85.07,6.8413,31.3,0,0.51
85.1,6.8416,31.4,0,0.51
85.14,6.8418,31.4,0,0.51
85.17,6.8419,31.4,0,0.51
85.21,6.842,31.4,0,0.51
85.24,6.8421,31.3,0,0.51
85.27,6.8423,31.3,0,0.51
85.31,6.8425,31.3,0,0.52
85.34,6.8426,31.2,0,0.52
85.38,6.8428,31.2,0,0.51
85.41,6.8429,31.2,0,0.51
85.44,6.8431,31.2,0,0.51
85.48,6.8432,31.2,0,0.51
85.51,6.8434,31.3,0,0.51
85.54,6.8436,31.3,0,0.51
85.58,6.8437,31.3,0,0.51
85.61,6.8439,31.2,0,0.51
85.65,6.8441,31.2,0,0.51
85.68,6.8442,31.2,0,0.51
85.71,6.8444,31.2,0,0.51
85.75,6.8446,31.2,0,0.51
85.78,6.8447,31.2,0,0.51
85.82,6.8449,31.1,0,0.51
85.85,6.8451,31.1,0,0.51
85.88,6.8452,31.1,0,0.51
85.92,6.8454,31.2,0,0.51
85.95,6.8455,31.2,0,0.51
85.98,6.8457,31.2,0,0.51
86.02,6.8459,31.1,0,0.51
86.05,6.846,31.1,0,0.51
86.09,6.8461,31,0,0.51
86.12,6.8463,31,0,0.51
86.15,6.8464,31,0,0.51
86.19,6.8466,31,0,0.51
86.22,6.8468,31,0,0.51
86.26,6.8469,31,0,0.51
86.29,6.8471,30.9,0,0.51
86.32,6.8473,30.9,0,0.51
86.36,6.8474,30.9,0,0.51
86.39,6.8476,30.9,0,0.51
86.42,6.8477,30.9,0,0.51
86.46,6.8479,30.9,0,0.51
86.49,6.8481,30.9,0,0.51
86.53,6.8483,30.9,0,0.51
86.56,6.8484,30.9,0,0.51
86.59,6.8486,31,0,0.51
86.63,6.8488,30.9,0,0.51
86.66,6.849,30.9,0,0.51
86.69,6.8491,30.9,0,0.51
86.73,6.8493,30.9,0,0.51
86.76,6.8494,30.9,0,0.51
86.8,6.8496,30.8,0,0.51
86.83,6.8498,30.8,0,0.51
86.86,6.8499,30.7,0,0.51
86.9,6.8501,30.7,0,0.51
86.93,6.8503,30.7,0,0.51
86.97,6.8504,30.7,0,0.51
87,6.8506,30.8,0,0.51
87.03,6.8507,30.8,0,0.51
87.07,6.8509,30.8,0,0.51
87.1,6.8511,30.8,0,0.51
87.14,6.8512,30.7,0,0.51
87.17,6.8514,30.7,0,0.51
87.2,6.8514,30.7,0,0.51
87.24,6.8516,30.7,0,0.51
87.27,6.8517,30.6,0,0.51
87.3,6.8518,30.6,0,0.51
87.34,6.852,30.6,0,0.51
87.37,6.8522,30.6,0,0.51
87.41,6.8523,30.6,0,0.51
87.44,6.8524,30.6,0,0.51
87.47,6.8526,30.6,0,0.51
87.51,6.8527,30.6,0,0.51
87.54,6.8529,30.6,0,0.51
87.58,6.8531,30.6,0,0.51
87.61,6.8532,30.6,0,0.51
87.64,6.8534,30.6,0,0.51
87.68,6.8536,30.6,0,0.51
87.71,6.8537,30.6,0,0.51
87.74,6.8539,30.6,0,0.51
87.78,6.8541,30.5,0,0.51
87.81,6.8542,30.5,0,0.51
87.85,6.8544,30.6,0,0.51
87.88,6.8546,30.6,0,0.51
87.91,6.8547,30.5,0,0.51
87.95,6.8549,30.5,0,0.51
87.98,6.8551,30.5,0,0.51
88.02,6.8552,30.5,0,0.51
88.05,6.8553,30.5,0,0.51
88.08,6.8555,30.5,0,0.51
88.12,6.8556,30.5,0,0.51
88.15,6.8558,30.5,0,0.51
88.18,6.8559,30.5,0,0.51
88.22,6.8561,30.5,0,0.51
88.25,6.8562,30.5,0,0.51
88.29,6.8564,30.5,0,0.51
88.32,6.8564,30.4,0,0.51
88.35,6.8566,30.4,0,0.51
88.39,6.8567,30.4,0,0.51
88.42,6.8568,30.5,0,0.51
88.45,6.857,30.4,0,0.51
88.49,6.8572,30.4,0,0.51
88.52,6.8574,30.4,0,0.51
88.56,6.8575,30.3,0,0.51
88.59,6.8577,30.4,0,0.51
88.62,6.8578,30.4,0,0.51
88.66,6.858,30.4,0,0.51
88.69,6.8581,30.3,0,0.51
88.73,6.8583,30.3,0,0.51
88.76,6.8584,30.3,0,0.51
88.79,6.8585,30.3,0,0.51
88.83,6.8587,30.3,0,0.51
88.86,6.8588,30.3,0,0.51
88.9,6.859,30.3,0,0.51
88.93,6.8591,30.3,0,0.51
88.96,6.8593,30.3,0,0.51
89,6.8594,30.3,0,0.51
89.03,6.8595,30.2,0,0.51
89.06,6.8597,30.2,0,0.51
89.1,6.8598,30.2,0,0.51
89.13,6.8599,30.2,0,0.51
89.17,6.8601,30.3,0,0.51
89.2,6.8602,30.3,0,0.51
89.23,6.8604,30.3,0,0.51
89.27,6.8605,30.3,0,0.51
89.3,6.8607,30.2,0,0.51
89.34,6.8608,30.2,0,0.51
89.37,6.861,30.3,0,0.51
89.4,6.8611,30.2,0,0.51
89.44,6.8612,30.2,0,0.51
89.47,6.8613,30.2,0,0.51
89.5,6.8615,30.2,0,0.51
89.54,6.8616,30.2,0,0.51
89.57,6.8618,30.2,0,0.51
89.61,6.8619,30.1,0,0.51
89.64,6.8621,30.2,0,0.51
89.67,6.8623,30.2,0,0.51
89.71,6.8624,30.2,0,0.51
89.74,6.8626,30.2,0,0.51
89.78,6.8627,30.1,0,0.51
89.81,6.8628,30,0,0.51
89.84,6.863,30,0,0.51
89.88,6.8631,30,0,0.51
89.91,6.8633,30,0,0.51
89.94,6.8634,30.1,0,0.51
89.98,6.8635,30,0,0.51
90.01,6.8637,30,0,0.51
90.05,6.8638,30,0,0.51
90.08,6.8639,30,0,0.51
90.11,6.8641,30,0,0.51
90.15,6.8642,30,0,0.51
90.18,6.8644,30,0,0.51
90.21,6.8645,30,0,0.51
90.25,6.8647,30,0,0.51
90.28,6.8648,30,0,0.51
90.32,6.8649,29.9,0,0.51
90.35,6.8651,29.9,0,0.51
90.38,6.8652,30,0,0.51
90.42,6.8653,29.9,0,0.51
90.45,6.8655,30,0,0.51
90.49,6.8656,30,0,0.51
90.52,6.8658,30,0,0.51
90.55,6.8658,30,0,0.51
90.59,6.866,29.9,0,0.51
90.62,6.8661,29.9,0,0.51
90.66,6.8663,29.9,0,0.51
90.69,6.8664,29.9,0,0.51
90.72,6.8665,29.9,0,0.51
90.76,6.8667,29.9,0,0.51
90.79,6.8668,29.9,0,0.51
90.82,6.8669,29.9,0,0.51
90.86,6.8671,29.9,0,0.51
90.89,6.8672,29.8,0,0.51
90.93,6.8673,29.8,0,0.51
90.96,6.8675,29.8,0,0.51
90.99,6.8676,29.8,0,0.51
91.03,6.8678,29.8,0,0.51
91.06,6.8679,29.8,0,0.51
91.1,6.8681,29.8,0,0.51
91.13,6.8682,29.8,0,0.51
91.16,6.8684,29.8,0,0.51
91.2,6.8685,29.8,0,0.51
91.23,6.8687,29.8,0,0.51
91.26,6.8689,29.8,0,0.51
91.3,6.869,29.8,0,0.51
91.33,6.8692,29.8,0,0.51
91.37,6.8693,29.8,0,0.51
91.4,6.8694,29.7,0,0.51
91.43,6.8696,29.7,0,0.51
91.47,6.8697,29.7,0,0.51
