Pore widths [nm],Pore distribution [dV/dW],Pore cumulative volume [cm3/{self.isotherm.material_unit}]
0.9715314141163034,0.13551392255811295,0.29984063526634414
0.9595258969765357,0.10261924871954008,0.2986154987413939
0.9476510159867468,0.08405564388371219,0.29762270912746663
0.9359005887428578,0.09223445924896555,0.29654451094183504
0.924332918978489,0.09076918504098784,0.29550560451702107
0.9128677078099277,0.1081124659536269,0.2942639504338661
0.9014358727686873,0.10939145675151744,0.29301920334125303
0.8901076258626797,0.10762354092465806,0.29180546152633785
0.8788766368854364,0.1266575926655733,0.2903888828708607
0.8677363788668621,0.10417580124022502,0.2892329274361081
0.8566810416401984,0.1350912355056599,0.28774496835579716
0.8457477318234233,0.07004150232215665,0.2869848678651184
0.8348796233291012,0.1591957632922215,0.2852521696068352
0.8240288316077199,0.14630985532947552,0.2836694611723517
0.8132411238710603,0.205763982350358,0.2814558718570225
0.8025097979417408,0.4437151402849481,0.27670601347522816
0.7918282937841322,0.3244458474690364,0.2732479848977756
0.7811904191508167,1.8187491190187797,0.25393743777362454
0.770588708021037,2.0092608938224403,0.23266753423791614
0.7600333783337141,4.021171046486266,0.19034581393944588
0.7494944545914995,2.1914960522367406,0.1672186881426906
0.7389449078763122,2.152009248809583,0.1445236606711046
0.7283999619427615,1.4041930047658822,0.12971796096981209
0.7178511293343222,1.619712935730693,0.11262392446874558
0.7072881400110345,1.1966969857699066,0.09997216374304319
0.696699953048953,0.9448085534698464,0.08995328177081102
0.6860871287709929,0.8730131993341217,0.08068056441803935
0.6754227256146728,1.1314123940071228,0.06856619527160968
0.6646773488891232,0.7174974128381255,0.06082909355606753
0.6538530269224011,0.6032724122078765,0.054274425366948174
0.6429343256679683,0.6987635498591727,0.0466074418246008
0.6318982751936641,0.5288868808232058,0.04073685749460872
0.620722075394261,0.4908443223768714,0.03521362531043348
0.6093838596996803,0.28353977224322036,0.03197449013017059
0.5978453164229738,0.2281474426932982,0.02931584958370558
0.5860648327822701,0.43036156068389403,0.02419119062889947
0.5740019444582662,0.350821271094715,0.01990486417439494
0.5616001496645697,0.21958208580040994,0.01714128925731524
0.5487935590956611,0.24483688306206094,0.01395165981683157
0.5354888136118403,0.13799421303278342,0.012077433213107345
0.5215679637329944,0.19396798186503175,0.009311492851618254
0.5068722905458364,0.12313248995789296,0.007448305161346335
0.49117097834515167,0.13217615693192322,0.005297659505794733
0.47412577249294025,0.08437779301215553,0.0037941016012684567
0.45517801174903183,0.056784803175296265,0.0026540804769190273
0.43331906331157805,0.03328127316330192,0.0018672535674785322
0.4062797138606545,0.020983610533760876,0.0012285760884435664
0.3640102023537395,0.011750503317637846,0.000592849709661459
0.32710723089112886,0.05255353518675949,-0.00044265924872697633
