Pore widths [nm],Pore distribution [dV/dW],Pore cumulative volume [cm3/{self.isotherm.material_unit}]
1.0466014126917704,0.33486667505646295,0.35536416713364727
1.032041052897244,0.27694510654402077,0.3513622830165535
1.0176911064463023,0.2887067098549955,0.3472482718091726
1.0036320427487606,0.1822060131859331,0.34472137811307746
0.9897520649452337,0.5418101892801117,0.33719475553002426
0.975952359945129,0.2657800433537386,0.3335514991577078
0.9623312848997171,0.7883291786734059,0.3228819662609114
0.9488791359501887,0.8027495272720427,0.31214925696339035
0.9355869250102966,1.2195179858558998,0.2960339529902444
0.9225070355632382,1.1479110544424627,0.2811739087598571
0.909559760694314,0.7564364451382073,0.27137861855980294
0.8966762326015718,1.1663255740806195,0.25642889197924457
0.8839206286334736,1.0810130373758249,0.24270715124828507
0.8712849878038345,1.8453296333553852,0.21949683029881187
0.8587603262577272,1.1417474190341534,0.20525758383581813
0.8463810155490145,0.6226443256796413,0.1976070466088805
0.8340867468906042,1.706124290883032,0.17661938651955553
0.8218273013248946,1.948731771987938,0.1528107079726144
0.8096467755363413,0.8064282617632219,0.14301782469688398
0.7975355474380839,1.1483187704696283,0.12914736343871094
0.7854838797675836,1.416202668064121,0.11211836754105478
0.7734828151274452,1.6255308099055423,0.09264820936071293
0.7615397865562968,1.2263075711957232,0.07804492935199325
0.7496189940721081,0.6593055235587931,0.07017727100151366
0.7376909451857872,0.7098399226752012,0.06171395842651781
0.7257669728800437,0.6087801487406341,0.05445419554227068
0.7138331622579916,0.42660943448846544,0.049359402419742494
0.7018770105506573,0.4792777332451291,0.04362255335146788
0.6898959362413015,0.3756396844581976,0.039117743820885044
0.6778536410348602,0.3929463836282392,0.034366148962046345
0.6657154219156325,0.2418599746397566,0.03141927470323895
0.6534784670782159,0.17909445482066164,0.029218258778344906
0.6411191144055222,0.2887983210383323,0.0256287809729825
0.6286049688725162,0.17738146357447923,0.023393902416936185
0.6159016948907314,0.12761100516221638,0.02175955395617917
0.6029719944933554,0.13211199979311897,0.020035210713152545
0.5897598438914445,0.09871166098364682,0.01871522166734415
0.5762010954138755,0.09124625555829169,0.017461011990395982
0.5622239725847684,0.09818671208695931,0.016065885046127132
0.5477304176471258,0.08483812016355621,0.01481213103106656
0.5325877176924296,0.056128819421576256,0.01394172974956618
0.516616549529464,0.06143672551470289,0.01293200928611476
0.49956068003099025,0.06061275623198182,0.011860581188254839
0.48102525250758715,0.04967260315026281,0.010897218587459886
0.4603660312074163,0.04986326064498618,0.009804006573460474
0.4363626511753047,0.03573316598495404,0.008871994064436155
0.4060778282476544,0.036943564832213165,0.007597918237640421
0.353045005413761,0.0211027463671722,0.006087414007247591
0.31725680011163004,-664.7759731352824,0.004657495660870912
