Pore widths [nm],Pore distribution [dV/dW],Pore cumulative volume [cm3/{self.isotherm.material_unit}]
0.3715644563265267,0.09355028479104087,0.023493216299654052
0.4441385396226212,0.17854507667720096,0.03001764074753201
0.4771474880409022,0.13164325858771478,0.033897921548853585
0.5047338089943958,0.2315189708129612,0.039847244753605564
0.5292498284344709,0.34078507134771147,0.04779950677062407
0.5517842101869336,0.4711335363113815,0.05803895304191386
0.5729505793589428,0.7406493215796036,0.07329566188254455
0.5931342754448963,1.316501321878082,0.09932064572377625
0.6125848779224294,3.5755459801174267,0.1677312522193078
0.631491340768014,3.2014922382036466,0.22753517114529817
0.6499994850748857,1.5357606708621163,0.2556953009811242
0.668213944643216,1.587861914386155,0.2844239217009599
0.6862020442600838,1.1798697914010454,0.3055241880004804
0.7040427563153764,0.5742044245087468,0.3157438031944209
0.7218139304187514,0.36098202440700705,0.322149241178204
0.7395560879182767,0.18966763883286816,0.325513913968447
0.7572863032279039,0.1559276173239853,0.3282770440790984
0.7750592671087942,0.12460247764354114,0.33049812474220586
0.8110999437486064,0.10770339281023285,0.3363416822010956
0.8661595248571496,0.08437022842129438,0.34105486825108244
0.9435549280138611,0.06294455984781268,0.3472818265387228
1.047379754462613,0.08390478964100803,0.3564041221193427
1.1631266149567825,0.04092043689247343,0.3614279950477997
