Pore widths [nm],Pore distribution [dV/dW],Pore cumulative volume [cm3/{self.isotherm.material_unit}]
1.1663011547781246,0.047604999792422775,0.25821201674964267
1.1477578124246441,0.0306754376134392,0.257643375999251
1.1294075599637803,0.06518591641155541,0.25645939288300657
1.111416393016453,0.1546835537880089,0.25370306184355323
1.0937650886432961,0.04435574683985049,0.2529275704300171
1.0765519767294507,0.024189290886380856,0.2525177367080928
1.0596290212914492,0.04276260708703312,0.25179491456604647
1.0428714368796412,0.030361302464716407,0.2512905515978401
1.0263973828137112,0.09744821573784934,0.24969863025534106
1.0102887090087775,0.11876055734712063,0.2478125614463745
0.9944174963717501,0.03496017421755968,0.24725805279254814
0.9786759076750869,0.03604525011326628,0.24669495299710076
0.9631667135071998,0.05023077271892848,0.24592158176556786
0.9478765286643102,0.10430411918953153,0.24433782736600831
0.9327905143083297,0.08684556694123856,0.24303618405954075
0.9179565622989624,0.04149445197975199,0.24242705041846488
0.9032928952009907,0.03491709124361023,0.24191560397880754
0.8887290558394526,0.09229843008884929,0.2405791018422634
0.8743247504749004,0.10377942322144003,0.23909211034996528
0.8600662844656031,0.03938705643762644,0.23853326523308957
0.8459836635373589,0.03167927607265156,0.2380904936705491
0.8320120027088447,0.17463656423478216,0.23565140988378866
0.8180982354242253,0.055559374492445905,0.23488130654001202
0.8042828603705345,0.09343514286422328,0.23359471931730244
0.7905522179766988,0.32064375979091464,0.22920464385901976
0.7768885237598424,0.3255754466806649,0.2247651145266772
0.7633008585726089,0.7395496724725382,0.21475206752527354
0.7497485381723104,1.7762085157559249,0.1906573428745718
0.7361897686851724,1.2588606779193134,0.17359690775223305
0.7226343863452436,0.8895178130570958,0.16153639604342887
0.7090630487418951,1.7867080260088484,0.13726540992164588
0.6954531815966124,1.128406582394782,0.12187897503497135
0.6817907487497421,1.9267506809112087,0.09550306050029136
0.6680317779811942,1.2833831035287804,0.07775564653888391
0.6541363308560214,1.4747972098600142,0.05716411964850871
0.6400836765300335,1.0493317894061391,0.042323386743614605
0.6258271322884876,0.6790967546030773,0.03256472791162744
0.6113187291250943,0.36765641352795186,0.027179756454270218
0.5964894376095986,0.385621873993407,0.02139086514555915
0.5812543688487222,0.26905789321470147,0.01723168639257993
0.565514120623155,0.22137149352442845,0.013684829758038676
0.5491388388099188,0.16185587872889695,0.01097724451403898
0.5319428079884665,0.11984160324508873,0.008860399549699539
0.5136566887200429,0.0923020156099348,0.007115102434844069
0.49388231794403625,0.062182088186792994,0.005831652114154849
0.4719630629131281,0.04226479135544873,0.004851180096905849
0.44666354766065014,0.025563021803173724,0.004150735053773032
0.41507141786973983,0.018883923060117686,0.0034750013275546775
0.35721904235463753,0.011930999216046982,0.0025214614909316664
