Pore widths [nm],Pore distribution [dV/dW],Pore cumulative volume [cm3/{self.isotherm.material_unit}]
1.114390349194487,0.19737298017240204,0.0989956555554497
1.0975311832202075,0.08059090543609088,0.09764931825064062
1.0810860779837723,0.13497713933788896,0.09546479576546497
1.0649058899612265,0.20641201469375864,0.09212587762257786
1.0488634711645133,0.14172136536371238,0.08987125364767383
1.033081110899131,0.15782132734052787,0.0874004234149574
1.0175491652362652,0.1439895670419714,0.0851818291396741
1.0023426394239872,0.15360747794584095,0.08287694423162392
0.987343952817402,0.12566623735803145,0.08099291294713118
0.9724572189785746,0.2772535835989155,0.07689479305142252
0.9577759931795253,0.12921157654691803,0.07501071686278069
0.9432888995470755,0.11775565533596347,0.0733158761143779
0.9290522180800866,0.13289669761524142,0.07144462387181383
0.9149736685872936,0.1335344066223036,0.0695649138722063
0.9009793053159653,0.16265745625807274,0.06730200223549895
0.8871406243901733,0.16596417429947877,0.06501746685616792
0.8734436595802031,0.1307100981339469,0.06323605846575203
0.8598780986603516,0.1315744205698391,0.061459484809738736
0.8464761624505375,0.15905077954069788,0.059343879120256585
0.8331746624136975,0.17857885080660166,0.05696850325502884
0.819921576904494,0.12476992490191874,0.0553209639283366
0.8067591706239848,0.10742474732265474,0.05391153045513076
0.7936752128680742,0.1142601193455072,0.05242069618262167
0.7806569970554548,0.1818675953711614,0.05005847079547187
0.7677154489370843,0.14268406967964692,0.0482186472382169
0.754809209800214,0.09500834028809825,0.046991320789367234
0.7418962131304404,0.14475701550065598,0.04512281146668822
0.728993896708817,0.1550679539382938,0.04312294175175397
0.7160881810182762,0.13602550700829735,0.041366213107602606
0.703157663607501,0.10909869640953175,0.03995378487838206
0.6901969783845232,0.17311623931286277,0.03770759546949266
0.6771659979628459,0.12874605989178325,0.03602270543870503
0.664024458740686,0.11656168742571615,0.034484539526556
0.6507629179549737,0.13198054786498534,0.032725644250021474
0.6373501680112235,0.12433329804826355,0.03104732230501654
0.6237447503335705,0.13987354217186707,0.029129339423782628
0.6099050598299255,0.10697827241476839,0.02763516133317172
0.5957675495127983,0.12113913388475396,0.025901914328284044
0.5812574495429441,0.1072997479677291,0.02432328859921607
0.5662923751752271,0.1197466330358541,0.022501002057197784
0.550759032221154,0.10008078502926986,0.0209148383203629
0.5344995041290406,0.09687402643388358,0.019299926764520057
0.5172971561306463,0.09299309225955658,0.017650743215950077
0.4988355844989646,0.07736768816688995,0.01616616021251082
0.47860981769507877,0.07133992093810533,0.014649269172963317
0.4557488659585975,0.05667018198766681,0.013263170957066694
0.42845363529567837,0.050448182460467526,0.011743095487610107
0.39131962692986183,0.037929903834783,0.010068998689789882
0.3432538857283347,0.035593635555454334,0.008218311611071383
