Pore widths [nm],Pore distribution [dV/dW],Pore cumulative volume [cm3/{self.isotherm.material_unit}]
1.5020621074922447,0.08309282165232967,0.06686022426026961
1.4672001965239292,0.10167367851311622,0.06341038974420227
1.4335729490473792,0.07486394458871709,0.06091562091593826
1.4010904184141348,0.105988649651357,0.05756203143620942
1.3696941735217694,0.05126225019970196,0.055965137238073524
1.3390639863848586,0.05294522688322258,0.05437101421075466
1.3096369845179265,0.04664274453882718,0.05303026410836205
1.2811122086485567,0.05249816437936101,0.051544332062820906
1.2534401012321954,0.061873497421583934,0.0498712876872227
1.2265627945184259,0.06564953456559276,0.04811746983982303
1.2002363933062246,0.05672405470488327,0.046646164334963325
1.1748239112090453,0.1039815439557343,0.0440583738265275
1.1500749741044451,0.07050574920080749,0.04232316693870926
1.125787785216497,0.07789741223634543,0.04045647065629691
1.102126239627379,0.0600686973403844,0.039053291711768044
1.0791583033138723,0.10405208102200121,0.03670418044891556
1.0567111633163162,0.06262615577637645,0.0353064913172713
1.0346447197309443,0.167354638393594,0.031655664987354795
1.0131589806534658,0.08770098822685399,0.02980021302923992
0.9921013272068464,0.046436617935913055,0.02882696009844097
0.9713486562582895,0.07033838305249261,0.02738174523623095
0.9509925533151461,0.0757326522918724,0.025854550676854635
0.931068967208406,0.03886299533690809,0.025089665923310835
0.9114644918181632,0.12230969243766562,0.02270127795575722
0.8920871410707629,0.051887498470725435,0.021703620394400002
0.872994266951876,0.0733917287670116,0.020312228605640262
0.8541555050278893,0.03697572090825145,0.01962007653341389
0.8355749316243328,0.06145918354415972,0.018486643152708506
0.8171794633523449,0.061555747906531275,0.01735716376313723
0.7989076626394013,0.043866608374962146,0.016559023298924527
0.7807718519831092,0.09096833691857487,0.01491459725064064
0.762759408390448,0.05801943861161319,0.01387326544072777
0.7448059122461502,0.035375526454756695,0.013237955978908273
0.7268515692406268,0.05639871050761861,0.012225617443234266
0.7088800093387387,0.04642119102028435,0.011390340314468604
0.6908517287844587,0.06387671531174503,0.010236527763438023
0.6726889949271951,0.03918085071727083,0.009520993307195181
0.6543128689712261,0.0408354615575873,0.008765949677603961
0.6356585287963645,0.0396151883409133,0.00802044017777625
0.6166173787937534,0.0338014209910113,0.00736930581617912
0.5970570667377254,0.04769710949827607,0.0064221793643960134
0.5767937954993346,0.03089555641234773,0.0057835855541368665
0.5555726444981968,0.02901601351343139,0.005151823859169421
0.5330331440964752,0.03265786043612713,0.004390695272408514
0.5085907608373545,0.02261629001773161,0.003812201580955171
0.4812128222462765,0.02574623374184199,0.0030609973290101327
0.4487522519718337,0.01580004709518664,0.0024962421464367864
0.4044953427720761,0.013352322591651927,0.001791641070752014
0.34768608712265814,0.014777479608591755,0.0008924523429455075
