Pore widths [nm],Pore distribution [dV/dW],Pore cumulative volume [cm3/{self.isotherm.material_unit}]
0.8363577700184941,0.2192339541837616,0.21765069441991933
0.8281214392070648,0.049602341490301495,0.21724312925153946
0.8199228221520506,0.1241500081095595,0.2162275098911316
0.8117588846856997,0.13749199899675088,0.21510732234233543
0.803626823680097,0.10311974459508329,0.21427031696863813
0.7955237961240862,0.09226262034401424,0.21352398380704057
0.7874481856423944,0.10038178394960119,0.2127147063424429
0.7793946233830996,0.13695961699459744,0.21161284851806625
0.7713602466595975,0.052832123324860765,0.21118894341637598
0.7633658997212163,0.09927899822329916,0.2103981792751634
0.7553797587317869,0.09246925741644517,0.20965775830233693
0.7473775505130844,0.08281307947764076,0.208995485198241
0.7393848965136032,0.06277425445567915,0.20849403793553495
0.731393692736106,0.10171005947997186,0.20768093682859132
0.7233995361520078,0.07789953434140498,0.20705820721511842
0.7154016841356483,0.10838215801864803,0.20619096628815495
0.7073956265359467,0.08637292138210298,0.20549908285821744
0.6993747183694415,0.12736002288875226,0.20447620411562584
0.6913335897557804,0.0816403421406959,0.20381892902755336
0.6832807238671322,0.1056207568020044,0.20296816753380972
0.6751954557459805,0.09377280899436032,0.20220713873862414
0.6670569661709299,0.0795265906446253,0.20155809732649796
0.6588758358215401,0.10359866434629808,0.20070849011683664
0.6506467870339567,0.10199359397105888,0.19986631370696378
0.6423581893694821,0.10605184340216942,0.19898395756826925
0.6340019603462486,0.13201698053571662,0.1978760165748844
0.6255680983320753,0.09217864455038852,0.19709477387100327
0.6170454211762673,0.16621416493515417,0.195670311321345
0.6084220421830857,0.19809910815766205,0.19395146183148096
0.5996864048976839,0.19216234172138744,0.19226147865697374
0.5908159309497656,0.38126153610128477,0.18885056492735294
0.5817922924450254,0.345166609070408,0.18570924201731204
0.5725981027963913,0.21027110191447362,0.1837563511463297
0.563204428772174,0.27100833809769015,0.1811818105522427
0.5535828588172049,0.2923756709700901,0.1783331118210999
0.5436999235761459,0.37940596531609794,0.17453048211742295
0.5335085378518383,3.882907984495071,0.1343028433763657
0.5229534619679537,5.05887567188799,0.07992008979206908
0.5119664072956478,3.8148509922822456,0.03710166455086506
0.5004555605053023,1.3506947041995951,0.021166772690280257
0.48830147146708097,0.46582252812914465,0.015339041516592614
0.4753393816211952,0.38247974013182745,0.010208628774388898
0.4613319061733102,0.24216576004737525,0.006672670456912152
0.44591011190357105,0.1259434978053615,0.00462707199831305
0.4284566072986455,0.09155180881106607,0.0029182742115137664
0.40776846896003294,0.03549203424461667,0.0021121983182716708
0.3806826179673949,0.016612205920132243,0.0015895742894325982
0.34110499824587254,0.006931929222846281,0.0012589559472290888
0.3172594957473887,-91.98294850265562,0.0008917767805953199
