Pore widths [nm],Pore distribution [dV/dW],Pore cumulative volume [cm3/{self.isotherm.material_unit}]
0.3715644563265267,0.026341975379574417,0.003693157303325254
0.45887640331176754,0.038607693132135204,0.0062419560056201995
0.5164013711701236,0.09326758211358355,0.010815055718071016
0.5620837597822078,0.07843512963118736,0.014135429537727236
0.6027007314317502,0.14351953565814948,0.01971851240942086
0.640659478216155,0.09824881012672813,0.02335531872102869
0.6771557221398943,0.17651456887167677,0.029705642018413025
0.7129149958601368,0.11000657199433869,0.03361553390526672
0.7484163852731391,0.18311588463867387,0.04010890202777983
0.784028573882065,0.10787052195627296,0.04396677761458679
0.8200692505218772,0.1733045633171553,0.050260749920253714
0.8567140419118631,0.10211777729723037,0.05403626636531974
0.9038944717522186,0.12727170252133757,0.06134022183022947
0.9628037868594577,0.11003512981846794,0.067989638852883
1.0249498216310404,0.0912929296930998,0.07381979914979915
1.0909903566928445,0.0763761330374175,0.0790300985378236
1.1748061557317873,0.05834083896539255,0.08482991599304567
1.2949726337163068,0.040787600842339344,0.09057771714822085
1.4483428455265765,0.0269251551659557,0.09504244956890755
1.7541652430205936,0.014603738269312948,0.10155315645810288
2.344447601119497,0.005758035280142807,0.10578381552857874
3.4531137157377825,0.0020232176165884265,0.10878342216461293
